Mechanical Angle,Electrical Angle,Target Velocity,Velocity,Target Iq,Iq,Target Id,Id
2.860000,0.010000,0.570000,0.189000,0.009000,0.000000,0.000000,0.000000
2.860000,0.020000,0.570000,0.194000,0.004000,0.000000,0.000000,0.000000
2.860000,0.030000,0.570000,0.197000,0.002000,0.000000,0.000000,0.000000
2.770000,0.070000,0.580000,0.197000,0.002000,0.000000,0.000000,0.000000
2.740000,0.130000,0.580000,0.197000,0.002000,0.000000,0.000000,0.000000
2.670000,0.170000,0.590000,0.197000,0.002000,0.000000,0.000000,0.000000
2.620000,0.380000,0.610000,0.197000,0.002000,0.000000,0.000000,0.000000
2.620000,0.380000,0.610000,0.194000,0.009000,0.000000,0.000000,0.000000
2.620000,0.390000,0.610000,0.199000,0.003000,0.000000,0.000000,0.000000
2.620000,0.430000,0.610000,0.202000,0.004000,0.000000,0.000000,0.000000
2.610000,0.450000,0.610000,0.202000,0.004000,0.000000,0.000000,0.000000
2.720000,0.570000,0.620000,0.202000,0.004000,0.000000,0.000000,0.000000
2.780000,0.690000,0.630000,0.202000,0.004000,0.000000,0.000000,0.000000
2.810000,1.150000,0.680000,0.202000,0.004000,0.000000,0.000000,0.000000
2.810000,1.170000,0.680000,0.199000,0.021000,0.000000,0.000000,0.000000
2.810000,1.190000,0.680000,0.195000,0.008000,0.000000,0.000000,0.000000
2.810000,1.210000,0.680000,0.190000,0.001000,0.000000,0.000000,0.000000
2.810000,1.230000,0.680000,0.190000,0.001000,0.000000,0.000000,0.000000
2.810000,1.310000,0.680000,0.192000,0.002000,0.000000,0.000000,0.000000
2.880000,1.440000,0.700000,0.192000,0.002000,0.000000,0.000000,0.000000
2.940000,2.010000,0.750000,0.192000,0.002000,0.000000,0.000000,0.000000
2.940000,2.000000,0.750000,0.190000,0.020000,0.000000,0.000000,0.000000
2.940000,2.030000,0.750000,0.190000,0.009000,0.000000,0.000000,0.000000
2.940000,2.070000,0.750000,0.191000,0.003000,0.000000,0.000000,0.000000
2.910000,2.080000,0.760000,0.191000,0.003000,0.000000,0.000000,0.000000
2.910000,2.100000,0.760000,0.190000,0.000000,0.000000,0.000000,0.000000
2.890000,2.190000,0.770000,0.190000,0.000000,0.000000,0.000000,0.000000
2.950000,2.310000,0.780000,0.190000,0.000000,0.000000,0.000000,0.000000
2.970000,2.700000,0.820000,0.190000,0.000000,0.000000,0.000000,0.000000
2.970000,2.690000,0.820000,0.187000,0.013000,0.000000,0.000000,0.000000
2.970000,2.730000,0.820000,0.187000,0.006000,0.000000,0.000000,0.000000
2.970000,2.750000,0.820000,0.187000,0.002000,0.000000,0.000000,0.000000
2.950000,2.810000,0.830000,0.187000,0.002000,0.000000,0.000000,0.000000
2.970000,2.910000,0.840000,0.187000,0.002000,0.000000,0.000000,0.000000
2.950000,2.990000,0.840000,0.187000,0.002000,0.000000,0.000000,0.000000
2.920000,3.280000,0.870000,0.187000,0.002000,0.000000,0.000000,0.000000
2.920000,3.320000,0.870000,0.185000,0.013000,0.000000,0.000000,0.000000
2.920000,3.330000,0.870000,0.187000,0.006000,0.000000,0.000000,0.000000
2.920000,3.340000,0.870000,0.189000,0.003000,0.000000,0.000000,0.000000
2.950000,3.400000,0.880000,0.189000,0.003000,0.000000,0.000000,0.000000
2.980000,3.500000,0.890000,0.189000,0.003000,0.000000,0.000000,0.000000
3.030000,3.630000,0.900000,0.189000,0.003000,0.000000,0.000000,0.000000
3.010000,3.960000,0.930000,0.189000,0.003000,0.000000,0.000000,0.000000
3.010000,3.970000,0.930000,0.188000,0.018000,0.000000,0.000000,0.000000
3.010000,3.990000,0.930000,0.187000,0.008000,0.000000,0.000000,0.000000
3.010000,4.010000,0.930000,0.188000,0.004000,0.000000,0.000000,0.000000
2.980000,4.030000,0.940000,0.188000,0.004000,0.000000,0.000000,0.000000
2.940000,4.090000,0.940000,0.188000,0.004000,0.000000,0.000000,0.000000
2.910000,4.160000,0.950000,0.188000,0.004000,0.000000,0.000000,0.000000
2.900000,4.510000,0.980000,0.188000,0.004000,0.000000,0.000000,0.000000
2.900000,4.510000,0.980000,0.184000,0.006000,0.000000,0.000000,0.000000
2.900000,4.540000,0.980000,0.187000,0.002000,0.000000,0.000000,0.000000
2.900000,4.570000,0.980000,0.190000,0.001000,0.000000,0.000000,0.000000
2.890000,4.590000,0.990000,0.190000,0.001000,0.000000,0.000000,0.000000
